country,costs,stability,sust_dev,decarb,risks,governance,env_regul,in_pot,int_coop
Albania,0.3828958,0.2594489,0.5950369,0.9580557,0.0334162,0.7171468,0.8433333,0.3212277,0
Algeria,0.4070223,0.1251256,0.6752205,0.31612,0.038387,0.4981647,0.4833333,0.0792922,1
Angola,0.2236578,0.0485202,0.2591093,0.8854002,0.0522234,0.4793955,0.6666667,0.0290679,0.5
Argentina,0.247244,0,0.7561438,0.6128633,0.0913771,0.5666366,0.71,0.1727373,0.5
Australia,0.1127884,0.2684073,0.9284667,0.3856237,0.0354309,0.9630752,0.95,0.5635306,1
Bahrain,0.1734553,0.3682268,0.6674956,0.0035353,0.1595135,0.758812,0.3966667,0.2166033,0
Bangladesh,0.2138121,0.0880743,0.3017995,0.3070321,0.0263556,0.5222265,0.7833333,0.1148442,0
Belgium,0.6362777,0.3296338,0.8960625,0.8233365,0.0661008,0.8804454,0.9833333,0.7316803,0
Bosnia & Herzegovina,0.4083915,0.81313,0.516362,0.3801173,0.0773222,0.6675177,0.7833334,0.3212277,0
Brazil,0.3384792,0.1089459,0.7413172,0.8869958,0.0755915,0.6252297,0.8833333,0.1631219,1
Bulgaria,0.384675,0.3383799,0.6666973,0.4450493,0.0611031,0.7416311,0.9833333,0.3341079,0
Myanmar (Burma),0.1896212,0.0926925,0.2553391,0.8031706,0.0556213,0.4396772,0.4466667,0.1954249,0
Cambodia,0.1576343,0.1618892,0.2904726,0.8075659,0.0413246,0.5557504,0.4966667,0.1954249,0
Cameroon,0.2530725,0.27794,0.2466956,0.7895141,0.0428479,0.4898605,0.6833333,0.0290679,0.5
Canada,0.6491334,0.3365356,0.7193047,0.7508279,0.0804044,0.9273906,0.8166667,0.767662,0.5
Sri Lanka,0.2109778,0.1105239,0.4597875,0.687113,0.040642,0.601952,0.7633333,0.1052288,0
Chile,0.1130105,0.1820962,0.7637133,0.6307555,0.0179885,0.8520229,0.91,0.1727373,1
China,0.0458641,0.2192427,0.7133994,0.5030452,0.0475981,0.5373219,0.9433333,0.6678582,0.5
Taiwan,0.1319648,0.6234769,0.5949614,0.4348723,0.0762306,0.8313971,0.81875,0.562089,0
Colombia,0.2720067,0.1334015,0.6361318,0.8482777,0.052084,0.7422924,0.85,0.1631219,0.5
