country,costs,stability,sust_dev,decarb,risks,governance,env_regul,in_pot,int_coop
Albania,0.3374963,0.0700625,0.0142078,1.415131,-0.3728557,0.3618541,0.5112071,0.1661049,-0.5778032
Algeria,0.2537319,-0.5742534,0.2319594,-0.7610339,-0.3333072,-0.7849377,-0.3854743,-0.707818,1.885298
Angola,-0.4545835,-0.9417104,-1.068411,1.157695,-0.209167,-0.9346912,-0.1738222,-0.8948322,0.4574821
Argentina,-0.1919739,-1.17445,0.5863972,0.2024698,0.111769,-0.5636451,-0.015894,-0.3523345,0.4574821
Australia,-0.8842987,0.1130335,1.342644,-0.6157326,-0.3553371,1.657725,0.8999534,1.138403,1.885298
Bahrain,-0.7126756,0.5918432,0.1920748,-1.910707,0.6814697,0.6444485,-0.7013307,-0.2043718,-0.5778032
Bangladesh,-0.3245944,-0.7519791,-0.8525996,-0.8301641,-0.4315786,-0.6599823,0.2925373,-0.5585113,-0.5778032
Belgium,1.555871,0.4067219,1.19978,0.920769,-0.1009342,1.168416,1.021437,1.701998,-0.5778032
Bosnia & Herzegovina,0.5870458,2.725934,-0.1553875,-0.6919501,-0.0010957,0.101919,0.2513691,0.1661049,-0.5778032
Brazil,0.2911851,-0.6518633,0.5465959,1.149638,-0.0162485,-0.1888921,0.6158188,-0.4011176,1.885298
Bulgaria,0.4407668,0.4486749,0.2600898,-0.4821955,-0.1427032,0.51134,1.021437,0.215309,-0.5778032
Myanmar (Burma),-0.4888231,-0.7298267,-1.006242,0.848488,-0.186418,-1.103213,-1.099116,-0.2756555,-0.5778032
Cambodia,-0.6174503,-0.3979076,-0.886341,0.9041694,-0.296315,-0.5284996,-0.8757229,-0.2756555,-0.5778032
Cameroon,-0.2517153,0.1587594,-1.048412,0.7901882,-0.2870325,-0.8518123,-0.1130805,-0.8948322,0.4574821
Canada,2.156567,0.4398283,0.4204908,0.6365792,0.0230103,1.409799,0.3316842,2.008356,0.4574821
Sri Lanka,-0.4162576,-0.6442942,-0.2757755,0.4491737,-0.3143519,-0.2491186,0.1784792,-0.6072944,-0.5778032
Chile,-1.148085,-0.3009795,0.6169474,0.2335062,-0.5035454,1.01951,0.7541735,-0.3523345,1.885298
